taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,GTDB-Tk Domain,GTDB-Tk Phylum,GTDB-Tk Class,GTDB-Tk Order,GTDB-Tk Family,GTDB-Tk Genus,GTDB-Tk Species,GOLD Analysis Project ID,Award DOI,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Latitude,Longitude,Genome Size  * assembled,Gene Count  * assembled,CheckM2 Completeness,CheckM2 Contamination,ITS AP ID,ITS SP ID,,ITS AP ID - 90 Complete,Taxon-oid (no AP ID) - 90% 
2738543002,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Paraburkholderia sp. GV072,DOE Joint Genome Institute  (JGI),2738543002,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia graminis,Ga0189731,10.46936/10.25585/60000910,Host-associated,Plants,Unclassified,Roots,Unclassified,,,,7284546,6584,100,0.05,1146906,1147035,,1000053,2710723931
2615840624,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Rhizobium aethiopicum HBR26,DOE Joint Genome Institute  (JGI),2615840624,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium aethiopicum,Ga0061105,10.46936/10.25585/60001401,Host-associated,Plants,Nodule,Roots,Unclassified,,8.597167,39.380353,6557588,6307,100,0.17,1052921,1052920,,1000056,2786546253
2930353684,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria sp. 003720,DOE Joint Genome Institute  (JGI),2930353684,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Unclassified,Ga0498107,10.46936/10.25585/60001355,,,,,,,,,7777176,7140,100,0.31,1306559,1306898,,1000059,2626541712
2506783046,Bacteria,Finished,Compost Feedstock-Adapted Isolates,Paenibacillus lactis 154,DOE Joint Genome Institute  (JGI),2506783046,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus lactis,Ga0024940,,Engineered,Bioreactor,Unclassified,Aerobic,Unclassified,"Joint BioEnergy Institute, Emeryville, CA 94608",37.831,-122.285,6848306,6305,100,0.03,1377598,,,1000062,2710264579
2773857658,Bacteria,Permanent Draft,Sequencing the genomes of 1000 actinobacteria strains,Streptomyces sp. 75,DOE Joint Genome Institute  (JGI),2773857658,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Unclassified,Ga0181096,10.46936/10.25585/60001044,,,,,,,,,10065237,9273,100,0.11,1133714,1133759,,1000065,2634166269
2821271981,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Pseudomonas umsogensis KD5_MF50,DOE Joint Genome Institute  (JGI),2821271981,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp001655615,Ga0372445,10.46936/10.25585/60000944,,,,,,,,,6501538,6065,100,1.46,1221142,1221149,,1000068,2626542097
2693429899,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Celeribacter indicus DSM 27257,DOE Joint Genome Institute  (JGI),2693429899,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter indicus,Ga0131257,10.46936/10.25585/60001024,Environmental,Aquatic,Oceanic,Marine,Aphotic zone,,,,4816144,4757,100,0.91,1108045,1108153,,1000071,2687453699
2901051635,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Streptococcus gallolyticus macedonicus DSM 15879,DOE Joint Genome Institute  (JGI),2901051635,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus,Ga0454009,10.46936/10.25585/60001087,,,,,,,,,2132281,2420,100,0.34,1269373,1269799,,1000074,2711768368
2599185188,Bacteria,Permanent Draft,Comparative genomics of bacterial root endophytes of switchgrass collected from native prairies over two seasons,Pseudomonas sp. NFACC45,DOE Joint Genome Institute  (JGI),2599185188,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E tehranensis,Ga0058970,10.46936/10.25585/60000672,Host-associated,Plants,Rhizoplane,Roots,Endophytes,,36.7069,-98.2694,6164180,5577,100,0.29,1049572,1049571,,1000077,2711768292
2953832134,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 21013-2,DOE Joint Genome Institute  (JGI),2953832134,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces californicus,Ga0528211,10.46936/10.25585/60001355,,,,,,,,,8656521,7692,100,0.9,1351534,1352422,,1000080,2710264615
2728369518,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Actinoplanes italicus DSM 43146,DOE Joint Genome Institute  (JGI),2728369518,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes italicus,Ga0180974,10.46936/10.25585/60001024,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,11152790,10250,100,1.13,1128690,1129030,,1000083,2710724090
2731639257,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Yoonia maritima DSM 101533,DOE Joint Genome Institute  (JGI),2731639257,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia,Yoonia maritima,Ga0180985,10.46936/10.25585/60001024,Environmental,Aquatic,Unclassified,Sediment,Unclassified,,,,3677387,3698,100,0.12,1128712,1129041,,1000089,2786546265
2919143609,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Bacillus sp. 1751,DOE Joint Genome Institute  (JGI),2919143609,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia megaterium,Ga0454429,10.46936/10.25585/60001066,Host-associated,Plants,Rhizosphere,Roots,Unclassified,"USA: Memphis, Nebraska",41.146,-96.436,6219228,6777,100,2.78,1280390,1280548,,1000092,2710723786
640753049,Bacteria,Finished,Shewanella baltica OS185,Shewanella baltica OS185,DOE Joint Genome Institute  (JGI),640753049,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,Shewanella baltica,Ga0030277,,Environmental,Aquatic,Unclassified,Marine,Unclassified,"Gotland deep, Baltic Sea",,,5312910,4618,100,0.23,1377325,,,1000095,2626541884
2710723751,Bacteria,Permanent Draft,"Soil microbial communities from Rifle, Colorado, USA",Candidatus Liptonbacteria bacterium RIFCSPLOWO2_01_FULL_52_25,DOE Joint Genome Institute  (JGI),2710723751,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,REEB91,Unclassified,Ga0155706,,,,,,,,,,1072345,1173,100,8.3,,,,1000101,2711768391
2519103185,Bacteria,Permanent Draft,Multiplexed sequencing for secondary metabolite discovery,Salinispora arenicola CNS673,DOE Joint Genome Institute  (JGI),2519103185,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora arenicola,Ga0026845,10.46936/10.25585/60007409,,,,,,,,,5875699,5421,100,1.35,1378515,,,1000104,2711768316
2863404153,Bacteria,Permanent Draft,Genome sequencing of plant associated microbes to promote plant fitness in Sorghum bicolor and Oryza sativa,Streptomyces scabiei SAI-025 (Annotation) (version 2),DOE Joint Genome Institute  (JGI),2863404153,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp020982545,Ga0436964,10.46936/10.25585/60001083,Host-associated,Plants,Unclassified,Roots,Unclassified,USA: California,36.6008,-119.5108,9672205,8597,100,1.35,1276944,1240753,,1000107,2711768667
2918755432,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Variovorax paradoxus DS996,DOE Joint Genome Institute  (JGI),2918755432,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Variovorax,Variovorax paradoxus_A,Ga0451220,10.46936/10.25585/60001066,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,7755685,7382,100,1.61,1273033,1273170,,1000110,2588254262
8013487634,Bacteria,Permanent Draft,Adaptive strategies in a cosmopolitan and abundant soil bacterium,Bradyrhizobium sp. AZCC 1588,DOE Joint Genome Institute  (JGI),8013487634,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Unclassified,Ga0592902,10.46936/10.25585/60000446,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,7414024,7178,100,0.31,1408423,1408449,,1000113,2785510843
2940566133,Bacteria,Permanent Draft,Genome sequencing of biomass degrading isolates from Greek habitats,Microbacterium thalassium ZKA21,DOE Joint Genome Institute  (JGI),2940566133,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,Unclassified,Ga0506665,10.46936/10.25585/60001106,,,,,,,,,3817514,3680,100,0.02,1343851,1239590,,1000317,2710264513
2889276214,Bacteria,Permanent Draft,Genomics of switchgrass bacterial isolates,Paenibacillus sp. PvR133,DOE Joint Genome Institute  (JGI),2889276214,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa_B,Ga0438213,10.46936/10.25585/60001249,Host-associated,Plants,Rhizosphere,Roots,Unclassified,USA: Michigan,42.3956,-85.3757,5979355,5469,100,0.55,1268995,1269090,,1000320,2626542054
2585428105,Bacteria,Permanent Draft,Sequencing of Potential Lignin Degrading Lysinibacillus isolates,Lysinibacillus sp. BC-14,DOE Joint Genome Institute  (JGI),2585428105,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus fusiformis,Ga0008626,10.46936/10.25585/60007628,Host-associated,Plants,Decayed wood,Wood,Unclassified,,,,4718637,4703,100,0.21,1039603,1039602,,1000323,2708742976
2935353572,Bacteria,Permanent Draft,Genome sequencing of novel secondary metabolite producing bacteria for plant Disease control,Pseudomonas protegens CHA0,DOE Joint Genome Institute  (JGI),2935353572,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E protegens,Ga0496531,10.46936/10.25585/60001209,Host-associated,Plants,Rhizosphere,Roots,Soil,Morens,46.844313,6.906016,6955622,6353,100,0.35,1327590,1278313,,1000329,2721755247
2619619073,Bacteria,Permanent Draft,Phytopathogenic Enterobacteria,Brenneria sp. EniD312,DOE Joint Genome Institute  (JGI),2619619073,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Brenneria,Brenneria nigrifluens,Ga0036897,,,,,,,,,,4943773,4592,100,0.22,1377588,,,1000332,2785511351
2945020387,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria sp. 020444-1,DOE Joint Genome Institute  (JGI),2945020387,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces wuyuanensis,Ga0507688,10.46936/10.25585/60001355,,,,,,,,,7953702,7175,100,0.1,1339903,1340393,,1000335,2710723546
2622736582,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Carnobacterium iners DSM 28070,DOE Joint Genome Institute  (JGI),2622736582,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium_A,Carnobacterium_A iners,Ga0070574,10.46936/10.25585/60001024,Host-associated,Microbial,Unclassified,Bacteria,Unclassified,,,,2376326,2368,100,0.57,1058921,1059073,,1000338,2710264698
641522643,Bacteria,Finished,"Verrucomicrobia, 5 species Proposal # 0087-060710",Opitutus terrae PB90-1,DOE Joint Genome Institute  (JGI),641522643,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Ga0029689,,Environmental,Terrestrial,Unclassified,Soil,Agricultural land,,,,5957605,4701,100,0.24,1378342,,,1000341,640612222
2626542327,Bacteria,Permanent Draft,"Soil microbial communities from Rifle, Colorado, USA",Parcubacteria (Giovannonibacteria) bacterium GW2011_GWA1_43_15,DOE Joint Genome Institute  (JGI),2626542327,Bacteria,Patescibacteria,Paceibacteria,UBA9983,2-01-FULL-45-33,GWA1-44-29,GWA1-44-29 sp001778695,Ga0075874,,,,,,,,,,675871,831,100,0.42,,,,1000344,2708742682
2880762256,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase V (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Aquimarina megaterium EL_43,DOE Joint Genome Institute  (JGI),2880762256,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina megaterium,Ga0438113,10.46936/10.25585/60001079,Host-associated,Cnidaria,Unclassified,Unclassified,Unclassified,,,,6046857,5321,100,0.43,1265501,1265525,,1000347,2786546252
2829791209,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Nitrobacter vulgaris DSM 10236,DOE Joint Genome Institute  (JGI),2829791209,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,Nitrobacter vulgaris,Ga0373211,10.46936/10.25585/60001087,,,,,,,,,4293395,4585,100,0.81,1219992,1220158,,1000350,2630968270
2990710928,Bacteria,Permanent Draft,Genome sequencing of plant associated microbes to promote plant fitness in Sorghum bicolor and Oryza sativa,Acidovorax delafieldii SLBN-75,DOE Joint Genome Institute  (JGI),2990710928,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Acidovorax,Acidovorax sp000302535,Ga0484268,10.46936/10.25585/60001083,Host-associated,Plants,Rhizosphere,Roots,Soil,USA: California,38.5376,-121.7644,5002431,4657,100,0.03,1290031,1290068,,1000353,2626542203
2981240341,Bacteria,Permanent Draft,Genomics of switchgrass bacterial isolates,Methylobacterium sp. PvP083,DOE Joint Genome Institute  (JGI),2981240341,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium radiotolerans,Ga0531216,10.46936/10.25585/60001249,Host-associated,Plants,Phylloplane/Leaf surface,Phyllosphere,Unclassified,USA: Michigan,42.3956,-85.3757,7431278,7438,100,1.7,1362424,1269037,,1000356,2956128196
637000165,Bacteria,Finished,Methylobacillus flagellatus KT,Methylobacillus flagellatus KT,DOE Joint Genome Institute  (JGI),637000165,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,Ga0029383,,Engineered,Wastewater,Unclassified,Activated Sludge,Unclassified,Activated sludge found at the wastewater treatment plant in Moscow Russia,55.755786,37.617633,2971517,2824,100,1.2,1378328,,,1000359,2791354759
2927270008,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase V (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 35,DOE Joint Genome Institute  (JGI),2927270008,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium japonicum,Ga0485025,10.46936/10.25585/60001079,Host-associated,Plants,Unclassified,Unclassified,Unclassified,,,,10300319,10385,100,1.39,1300725,1300935,,1000365,2716884135
2695421013,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Cognatiyoonia sediminum DSM 28715,DOE Joint Genome Institute  (JGI),2695421013,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cognatiyoonia,Cognatiyoonia sediminum,Ga0131264,10.46936/10.25585/60001024,Environmental,Aquatic,Unclassified,Marine,Unclassified,,,,3257490,3333,100,0,1108059,1108160,,1000368,2785511073
2791354855,Bacteria,Permanent Draft,"Marine sediment microbial communities from Pacific Ocean, California, USA",Micromonospora sp. CNZ295,DOE Joint Genome Institute  (JGI),2791354855,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Unclassified,Ga0193643,10.46936/10.25585/60001115,Environmental,Aquatic,Oceanic,Marine,Sediment,"Pacific Ocean: Off the coast of San Diego, USA",,,6439791,6019,100,0.56,1141806,1141863,,1000371,2721755111
2929121299,Bacteria,Permanent Draft,Genomic analyses of the natural microbiome of Caenorhabditis elegans,Rhodococcus erythropolis JUb83,DOE Joint Genome Institute  (JGI),2929121299,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,Rhodococcus erythropolis,Ga0494991,10.46936/10.25585/60001123,,,,,,,,,6759720,6474,100,0.16,1305587,1189022,,1000377,2634166233
2721755200,Bacteria,Permanent Draft,"Soil microbial communities from Rifle, Colorado, USA",Deltaproteobacteria bacterium GWC2_42_11,DOE Joint Genome Institute  (JGI),2721755200,Bacteria,Desulfobacterota_F,GWC2-55-46,UBA9637,GWC2-42-11,GWC2-42-11,GWC2-42-11 sp001797495,Ga0154468,,,,,,,,,,1751043,1806,100,0,,,,1000380,2710723665
2667527434,Bacteria,Permanent Draft,Genome sequencing of a diverse group of Pseudomonas species,Pseudomonas oryzae KCTC 32247,DOE Joint Genome Institute  (JGI),2667527434,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_K,Pseudomonas_K oryzae,Ga0104702,10.46936/10.25585/60000812,,,,,,,,,4642093,4302,100,0.4,1091806,1091816,,1000383,2710723569
2651870306,Bacteria,Permanent Draft,The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.,Streptococcus equinus Sb04,DOE Joint Genome Institute  (JGI),2651870306,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equinus_D,Ga0104408,10.46936/10.25585/60000534,Host-associated,Mammals,Stomach,Digestive system,Rumen,,,,1875611,1874,100,0.43,1082093,1082198,,1000386,2713897376
2904439833,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Herbaspirillum sp. 1589,DOE Joint Genome Institute  (JGI),2904439833,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Herbaspirillum,Herbaspirillum huttiense,Ga0454186,10.46936/10.25585/60001066,Host-associated,Plants,Rhizosphere,Roots,Unclassified,"USA: Memphis, Nebraska",41.146,-96.436,5931679,5442,100,0.23,1275663,1275738,,1000389,2711768732
